Sample ID	Grading date 	Blastocyst grade	No. embryos/	trt	sex	Sample	Reads_number	Unique_best_hit	Mapping_efficiency	No_alignments	Total_Cs	Total_CsM_CpG	Total_CsM_CHG	Total_CsM_CHH	Total_CsM_UNKNOWN	Total_CsU_CpG	Total_CpG	CsM_CpG	CsM_CHG	CsM_CHH	CsM_UNKNOWN
19	13/07/17	B1/2, XB1/2	8	2i	mixed	Pavla/10Nov2017_Sample_19_Pavla_S125_L001_R1_001_trimmed.fq	161990	75220	46.4%	48230	1849644	32405	2317	5951	0	106567	138972	23.32	0.5%	0.5%	0.0%
20	13/07/17	B3	7	2i	mixed	Pavla/11Nov2017_Sample_20_Pavla_S128_L001_R1_001_trimmed.fq	7229	2642	36.5%	2192	47981	1228	67	127	0	3970	5198	23.62	0.5%	0.4%	
21	10/11/16	B1/2, 	14	2i	mixed	Pavla/11Nov2017_Sample_21_Pavla_S129_L001_R1_001_trimmed.fq	130747	53792	41.1%	38470	1211589	26357	1634	3262	0	92320	118677	22.21	0.5%	0.4%	0.0%
22	10/11/16	B3	9	2i	mixed	Pavla/11Nov2017_Sample_22_Pavla_S130_L001_R1_001_trimmed.fq	50735	20747	40.9%	16772	518722	12101	693	1503	0	35820	47921	25.25	0.5%	0.4%	0.0%
23	29/6/0217	B1/2, XB1/2	6	2i+	mixed	Pavla/11Nov2017_Sample_23_Pavla_S131_L001_R1_001_trimmed.fq	74864	30906	41.3%	23490	761429	16727	986	2078	0	52571	69298	24.14	0.5%	0.4%	0.0%
24	29/6/0217	B2	6	2i+	mixed	Pavla/11Nov2017_Sample_24_Pavla_S132_L001_R1_001_trimmed.fq	118802	49158	41.4%	38886	1210987	28221	1518	3201	0	81490	109711	25.72	0.5%	0.4%	0.0%
25	29/6/0217	B3	5	2i+	mixed	Pavla/11Nov2017_Sample_25_Pavla_S133_L001_R1_001_trimmed.fq	97381	41929	43.1%	27267	976651	21172	1111	2513	0	70776	91948	23.03	0.4%	0.4%	0.0%
26	29/6/0217	B3	4	2i+	mixed	Pavla/11Nov2017_Sample_26_Pavla_S134_L001_R1_001_trimmed.fq	65172	28702	44.0%	17880	680846	14103	974	2044	0	49063	63166	22.33	0.5%	0.5%	0.0%
27	6/07/17	B1/2, XB1/2	8	2i+	mixed	Pavla/11Nov2017_Sample_27_Pavla_S135_L001_R1_001_trimmed.fq	73282	29399	40.1%	20869	605985	14666	881	1772	0	47861	62527	23.46	0.5%	0.5%	0.0%
28	6/07/17	B2	7	2i+	mixed	Pavla/11Nov2017_Sample_28_Pavla_S136_L001_R1_001_trimmed.fq	114358	48450	42.4%	31923	1093273	23800	1512	3129	0	82161	105961	22.46	0.5%	0.4%	0.0%
29	6/07/17	B3	6	2i+	mixed	Pavla/11Nov2017_Sample_29_Pavla_S137_L001_R1_001_trimmed.fq	78134	34812	44.6%	23706	909463	17447	1243	2629	1	60203	77650	22.47	0.5%	0.4%	25.0%
30	6/07/17	B3	6	2i+	mixed	Pavla/11Nov2017_Sample_30_Pavla_S138_L001_R1_001_trimmed.fq	70250	31104	44.3%	21566	826559	19212	1074	2475	0	52790	72002	26.68	0.5%	0.5%	0.0%
31	13/7/0217	B1/2, XB1/2	9	2i+	mixed	Pavla/11Nov2017_Sample_31_Pavla_S139_L001_R1_001_trimmed.fq	69500	29873	43.0%	20565	741052	14523	888	1962	0	53155	67678	21.46	0.5%	0.4%	0.0%
32	13/7/0217	B2	6	2i+	mixed	Pavla/11Nov2017_Sample_32_Pavla_S140_L001_R1_001_trimmed.fq	28000	10722	38.3%	10370	262172	6224	455	1059	1	18826	25050	24.85	0.7%	0.6%	20.0%
33	13/7/0217	B3	2	2i+	mixed	Pavla/11Nov2017_Sample_33_Pavla_S141_L001_R1_001_trimmed.fq	19619	7041	35.9%	8463	191112	4917	260	608	0	11410	16327	30.12	0.5%	0.5%	0.0%
34	5/09/17	Fibroblast	5 x 103 	Snazy	male	Pavla/11Nov2017_Sample_34_Pavla_S142_L001_R1_001_trimmed.fq	61701	26821	43.5%	16775	664369	35484	1027	2159	1	24391	59875	59.26	0.6%	0.5%	11.1%
35	5/09/17	Fibroblast	1 x 103	Snazy	male	Pavla/11Nov2017_Sample_35_Pavla_S143_L001_R1_001_trimmed.fq	6143	2572	41.9%	1751	61507	3303	123	272	0	2187	5490	60.16	0.8%	0.7%	0.0%
36	5/09/17	Fibroblast	3 x 104 	LJ801	male	Pavla/11Nov2017_Sample_38_Pavla_S146_L001_R1_001_trimmed.fq	140055	61778	44.1%	44164	1579914	79412	2248	4912	0	47876	127288	62.39	0.6%	0.5%	0.0%
37	5/09/17	Fibroblast	1 x 103 	LJ801	male	Pavla/11Nov2017_Sample_39_Pavla_S147_L001_R1_001_trimmed.fq	22377	10797	48.3%	6995	301584	12816	381	981	0	7856	20672	62.00	0.5%	0.5%	0.0%
